Sentence Length,Count
22,169
16,191
27,134
19,220
8,67
18,181
12,144
26,158
28,150
24,147
9,80
11,139
10,100
33,94
56,14
21,189
37,58
31,106
23,173
13,180
20,216
25,156
46,34
48,26
30,113
36,99
34,88
17,204
43,44
32,99
55,16
6,17
38,55
39,46
57,7
29,129
51,16
15,190
79,1
14,162
81,6
44,39
41,44
45,34
7,42
42,42
47,26
35,77
71,2
53,14
59,11
40,59
54,14
4,7
66,6
50,17
77,5
76,2
101,1
49,22
52,10
64,3
61,6
60,8
67,7
84,1
75,1
63,3
62,3
85,1
73,4
109,1
65,3
2,1
5,8
74,1
92,1
58,3
104,1
70,2
68,2
80,3
89,1
345,1
72,1
3,1
95,1
69,1
