Sentence Length,Count
26,58
27,73
17,122
56,5
34,36
24,51
41,19
16,89
18,69
13,88
7,50
33,31
23,66
29,32
48,12
99,2
22,60
40,21
28,37
21,51
30,37
52,9
61,3
20,75
46,10
11,73
15,84
10,79
4,24
51,7
32,29
12,68
31,42
8,56
9,72
3,11
2,33
160,1
14,74
35,18
25,48
19,59
6,37
39,24
37,24
45,10
64,3
36,19
87,2
5,28
44,11
50,14
43,11
54,10
60,10
47,7
97,2
73,3
55,6
38,14
42,11
58,2
59,6
83,2
70,1
78,2
62,2
80,1
67,2
49,6
123,1
79,4
68,4
74,3
63,5
1,3
57,2
81,1
89,1
69,4
84,1
66,2
65,2
204,1
53,2
91,1
100,1
126,1
173,1
101,1
122,1
75,1
88,1
72,1
